N,model,beta,sem,trueb,lci,uci
100,1,1.656409,.2415421,.5,1.1829865,2.1298316
1100,1,1.5474328,.067450441,.5,1.4152299,1.6796356
2100,1,1.604314,.048064701,.5,1.5101072,1.6985208
3100,1,1.5833176,.039418954,.5,1.5060564,1.6605788
4100,1,1.5874892,.034361959,.5,1.5201398,1.6548387
5100,1,1.6107595,.031299133,.5,1.5494132,1.6721058
6100,1,1.5747608,.029619446,.5,1.5167067,1.6328149
7100,1,1.6049739,.027332231,.5,1.5514027,1.6585451
8100,1,1.6002462,.02603602,.5,1.5492156,1.6512768
9100,1,1.5910242,.02342972,.5,1.5451019,1.6369464
10100,1,1.6031809,.021729568,.5,1.560591,1.6457708
100,2,.96772099,.31782433,.5,.3447853,1.5906566
1100,2,1.3131492,.10107117,.5,1.1150497,1.5112487
2100,2,1.4535543,.072489917,.5,1.3114741,1.5956345
3100,2,1.5306857,.060163915,.5,1.4127644,1.6486069
4100,2,1.4521971,.052177075,.5,1.34993,1.5544641
5100,2,1.5837042,.047193591,.5,1.4912047,1.6762037
6100,2,1.4835578,.044222489,.5,1.3968817,1.5702339
7100,2,1.5568811,.04041867,.5,1.4776605,1.6361016
8100,2,1.4768178,.038111303,.5,1.4021196,1.5515161
9100,2,1.4988488,.03508465,.5,1.4300829,1.5676147
10100,2,1.4660407,.033074617,.5,1.4012145,1.530867
100,3,-.54033297,.16140355,.5,-.85668391,-.22398201
1100,3,-.58086014,.043471575,.5,-.66606444,-.49565586
2100,3,-.58045375,.031870566,.5,-.64292008,-.51798743
3100,3,-.5756259,.026042277,.5,-.62666875,-.52458304
4100,3,-.55546981,.022741036,.5,-.60004222,-.5108974
5100,3,-.53978747,.020482177,.5,-.57993251,-.4996424
6100,3,-.5990811,.019335298,.5,-.63697827,-.56118393
7100,3,-.55060983,.017746551,.5,-.58539307,-.51582658
8100,3,-.5532378,.016770698,.5,-.58610839,-.52036721
9100,3,-.57165283,.015605844,.5,-.60224026,-.54106539
10100,3,-.56364,.01475496,.5,-.5925597,-.5347203
100,4,-.03533861,.15431847,.5,-.3378028,.26712558
1100,4,-.13272826,.037786324,.5,-.20678946,-.058667071
2100,4,-.16744958,.028144373,.5,-.22261254,-.1122866
3100,4,-.13961135,.023153571,.5,-.18499234,-.094230346
4100,4,-.12547635,.01996077,.5,-.16459945,-.086353235
5100,4,-.11856261,.01839922,.5,-.15462507,-.082500137
6100,4,-.15078747,.017218754,.5,-.18453623,-.11703871
7100,4,-.12131452,.01565438,.5,-.1519971,-.090631932
8100,4,-.12481258,.014965576,.5,-.15414511,-.095480055
9100,4,-.12867174,.01382748,.5,-.15577359,-.10156988
10100,4,-.12519506,.013180841,.5,-.1510295,-.099360608
100,5,.48892927,.14791463,.5,.19901659,.77884197
1100,5,.42119083,.044918619,.5,.33315033,.50923133
2100,5,.50937593,.034730036,.5,.44130507,.57744682
3100,5,.51910269,.028272841,.5,.46368793,.57451749
4100,5,.49428993,.024350934,.5,.44656211,.54201776
5100,5,.53047442,.022642624,.5,.48609489,.57485396
6100,5,.45628718,.02064907,.5,.415815,.49675936
7100,5,.52611721,.019139191,.5,.4886044,.56363004
8100,5,.4915188,.018033022,.5,.45617408,.52686352
9100,5,.50745672,.016525427,.5,.47506687,.53984654
10100,5,.50248998,.015699739,.5,.47171849,.53326148
