nobs,beta,sem,pval,cil,ciu,temp,trueb
10,6.0412993,.77368116,.000051966148,4.2571874,7.8254113,1,5
100,5.4651852,.34215212,4.9554975e-29,4.7861958,6.1441751,2,5
1000,5.1284351,.096004672,0,4.9400411,5.3168297,3,5
10000,5.0299397,.030392267,0,4.9703646,5.0895147,4,5
100000,5.0298162,.030381545,0,4.9702621,5.0893703,5,5
1000000,5.0302253,.030400626,0,4.970634,5.089817,6,5
