Religion_name,Religion_code
None,0
Christianity,1
Islam,2
Secular/Nonreligious/Agnostic/Atheist,3
Hinduism,4
Buddhism,5
Chinese traditional religion,6
Ethnic religions,7
African traditional religions,8
Sikhism,9
Spiritism,10
Judaism,11
Bah???,12
Jainism,13
Shinto,14
Cao Dai,15
Zoroastrianism,16
Tenrikyo,17
Animism,18
Neo-Paganism,19
Unitarian Universalism,20
Rastafari,21
Others,22
