nobs,beta,sem,pval,cil,ciu,temp,trueb
10,3.8379204,1.2477345,.015210927,.96063936,6.7152014,1,5
100,4.9935808,.31011042,2.7865176e-29,4.3781767,5.6089849,2,5
1000,4.9536858,.096127227,0,4.7650509,5.1423206,3,5
10000,5.0300832,.030388515,0,4.9705157,5.0896506,4,5
