SUITE,STE
ROOM,RM
NUMBER,NO
APARTMENTS,APTS
APARTMENT,APT
BUILDING,BLDG
BUILDIN,BLDG
FLOOR,FL
FLR,FL
UPSTAIRS,UPPR
