DBA,DBA
D/B/A,DBA
D.B.A.,DBA
D B A ,DBA
T/A,DBA
FKA,FKA
F/K/A,FKA
F.K.A.,FKA
F K A ,FKA
FNA,FKA
F/N/A,FKA
F.N.A.,FKA
F N A ,FKA
FORMERLY KNOWN AS,FKA
FORMERLY,FKA
AS SUCCESSOR TO,FKA
SUCCESSOR TO,FKA
ATTN,ATTN
C/O,ATTN
